"书名","nid","测一测上传图片","测一测音频","测一测答案选项","测一测对应的新标准单元","age","category"
"3AU9_purpleglasses","245","http://ilearning.cn/sites/default/files/ceshitupian/3AU9_purpleglasses_0.jpg"," 3AU9_purpleglasses.mp3","purple glasses, green shoes, black watch, blond hair","3A_U9","",""
"3AU10_cow","246","http://ilearning.cn/sites/default/files/ceshitupian/3AU10_cow_0.jpg"," 3AU10_cow.mp3","cow, bull, cat, dog","3A_U10","",""
"3AU10_horse","247","http://ilearning.cn/sites/default/files/ceshitupian/3AU10_horse_0.jpg"," 3AU10_horse.mp3","horse, sheep, goat, pig","3A_U10","",""
"3AU10_pig","248","http://ilearning.cn/sites/default/files/ceshitupian/3AU10_pig_0.jpg"," 3AU10_pig.mp3","pig, cattle, monkey, mouse","3A_U10","",""
"3AU10_sheep","249","http://ilearning.cn/sites/default/files/ceshitupian/3AU10_sheep_0.jpg"," 3AU10_sheep.mp3","sheep, wolf, bear, lion","3A_U10","",""
"3AU11_black","250","http://ilearning.cn/sites/default/files/ceshitupian/3AU11_black_0.jpg"," 3AU11_black.mp3","black, grey, white, red","3A_U11","",""
"3AU11_grey","251","http://ilearning.cn/sites/default/files/ceshitupian/3AU11_grey_0.jpg"," 3AU11_grey.mp3","grey, yellow, pink, blue","3A_U11","",""
"3AU11_pink","252","http://ilearning.cn/sites/default/files/ceshitupian/3AU11_pink_0.jpg"," 3AU11_pink.mp3","pink, white, red, blue","3A_U11","",""
"3AU11_white","253","http://ilearning.cn/sites/default/files/ceshitupian/3AU11_white_0.jpg"," 3AU11_white.mp3","white, yellow, green, orange","3A_U11","",""
"3AU12_dancing","254","http://ilearning.cn/sites/default/files/ceshitupian/3AU12_dancing_0.jpg"," 3AU12_dancing.mp3","dancing, flying, running, sitting","3A_U12","",""
"3AU12_eating","255","http://ilearning.cn/sites/default/files/ceshitupian/3AU12_eating_0.jpg"," 3AU12_eating.mp3","eating, drinking, playing, studying","3A_U12","",""
"3AU12_jumping","256","http://ilearning.cn/sites/default/files/ceshitupian/3AU12_jumping_0.jpg"," 3AU12_jumping.mp3","jumping, watching, riding, looking","3A_U12","",""
"3AU12_sleeping","257","http://ilearning.cn/sites/default/files/ceshitupian/3AU12_sleeping.jpg"," 3AU12_sleeping.mp3","sleeping, speaking, shaving, shaking","3A_U12","",""
"3BU1_computer","258","http://ilearning.cn/sites/default/files/ceshitupian/3BU1_computer_0.jpg"," 3BU1_computer.mp3","computer, keyboard, mouse, screen","3B_U1","",""
"3BU1_door","259","http://ilearning.cn/sites/default/files/ceshitupian/3BU1_door_0.jpg"," 3BU1_door.mp3","door, gate, house, bed","3B_U1","",""
"3BU1_window","260","http://ilearning.cn/sites/default/files/ceshitupian/3BU1_window_0.jpg"," 3BU1_window.mp3","window, door, shop, winter","3B_U1","",""
"3BU2_circle","261","http://ilearning.cn/sites/default/files/ceshitupian/3BU2_circle_0.jpg"," 3BU2_circle.mp3","circle, cube, certain, serve","3B_U2","",""
"3BU2_square","262","http://ilearning.cn/sites/default/files/ceshitupian/3BU2_square_0.jpg"," 3BU2_square.mp3","square, space, triangle, smell","3B_U2","",""
"3BU2_triangle","263","http://ilearning.cn/sites/default/files/ceshitupian/3BU2_triangle_0.jpg"," 3BU2_triangle.mp3","triangle, square, puzzle, circle","3B_U2","",""
"3BU3_bathroom","264","http://ilearning.cn/sites/default/files/ceshitupian/3BU3_bathroom_0.jpg"," 3BU3_bathroom.mp3","bathroom, bedroom, livingroom, diningroom","3B_U3","",""
"3BU3_bedroom","265","http://ilearning.cn/sites/default/files/ceshitupian/3BU3_bedroom_0.jpg"," 3BU3_bedroom.mp3","bedroom, bathroom, washroom, livingroom","3B_U3","",""
"3BU3_kitchen","266","http://ilearning.cn/sites/default/files/ceshitupian/3BU3_kitchen_0.jpg"," 3BU3_kitchen.mp3","kitchen, chicken, bedroom, bathroom","3B_U3","",""
"3BU4_icecream","267","http://ilearning.cn/sites/default/files/ceshitupian/3BU4_icecream_0.jpg"," 3BU4_icecream.mp3","ice cream, candy, lolipop, apple","3B_U4","",""
"3BU4_milk","268","http://ilearning.cn/sites/default/files/ceshitupian/3BU4_milk_0.jpg"," 3BU4_milk.mp3","milk, meat, coffee, juice","3B_U4","",""
"3BU4_sweets","269","http://ilearning.cn/sites/default/files/ceshitupian/3BU4_sweets_0.jpg"," 3BU4_sweets.mp3","sweets, meat, sugar, candy","3B_U4","",""
"3BU5_bowl","270","http://ilearning.cn/sites/default/files/ceshitupian/3BU5_bowl_0.jpg"," 3BU5_bowl.mp3","bowl, brown, fork, chopsticks","3B_U5","",""
"3BU5_plate","271","http://ilearning.cn/sites/default/files/ceshitupian/3BU5_plate_0.jpg"," 3BU5_plate.mp3","plate, place, spoon, knife","3B_U5","",""
"3BU5_spoon","272","http://ilearning.cn/sites/default/files/ceshitupian/3BU5_spoon_0.jpg"," 3BU5_spoon.mp3","spoon, swim, fork, cup","3B_U5","",""
"3BU6_eggs","273","http://ilearning.cn/sites/default/files/ceshitupian/3BU6_eggs_0.jpg"," 3BU6_eggs.mp3","eggs, balls, grapes, apples","3B_U6","",""
"3BU6_juice","274","http://ilearning.cn/sites/default/files/ceshitupian/3BU6_juice_0.jpg"," 3BU6_juice.mp3","juice, drink, water, fruit","3B_U6","",""
"3BU6_pizza","275","http://ilearning.cn/sites/default/files/ceshitupian/3BU6_pizza_0.jpg"," 3BU6_pizza.mp3","pizza, bread, cheese, salad","3B_U6","",""
"3BU7_hear","276","http://ilearning.cn/sites/default/files/ceshitupian/3BU7_hear_0.jpg"," 3BU7_hear.mp3","hear, fear, smell, see","3B_U7","",""
"3BU7_see","277","http://ilearning.cn/sites/default/files/ceshitupian/3BU7_see_0.jpg"," 3BU7_see.mp3","see, look, watch, tea","3B_U7","",""
"3BU7_smell","278","http://ilearning.cn/sites/default/files/ceshitupian/3BU7_smell_0.jpg"," 3BU7_smell.mp3","smell, feel, meal, swear","3B_U7","",""
"3BU8_children","279","http://ilearning.cn/sites/default/files/ceshitupian/3BU8_children_0.jpg"," 3BU8_children.mp3","children, woman, man, animal","3B_U8","",""
"3BU8_dance","280","http://ilearning.cn/sites/default/files/ceshitupian/3BU8_dance_0.jpg"," 3BU8_dance.mp3","dance, jump, run, dream","3B_U8","",""
"3BU8_family","281","http://ilearning.cn/sites/default/files/ceshitupian/3BU8_family.jpg"," 3BU8_family.mp3","family, child, mother, father","3B_U8","",""
"3BU9_rainy","282","http://ilearning.cn/sites/default/files/ceshitupian/3BU9_rainy_0.jpg"," 3BU9_rainy.mp3","rainy, snowy, sunny, fine","3B_U9","",""
"3BU9_snowy","283","http://ilearning.cn/sites/default/files/ceshitupian/3BU9_snowy_0.jpg"," 3BU9_snowy.mp3","snowy, rainy, sunny, foggy","3B_U9","",""
"3BU9_sunny","284","http://ilearning.cn/sites/default/files/ceshitupian/3BU9_sunny_0.jpg"," 3BU9_sunny.mp3","sunny, funny, rainy, cold","3B_U9","",""
"3BU10_picture","285","http://ilearning.cn/sites/default/files/ceshitupian/3BU10_picture_0.jpg"," 3BU10_picture.mp3","picture, photo, picnic, painting","3B_U10","",""
"3BU10_puzzle","286","http://ilearning.cn/sites/default/files/ceshitupian/3BU10_puzzle_0.jpg"," 3BU10_puzzle.mp3","puzzle, rabbit, square, puff","3B_U10","",""
"3BU10_puzzlepieces","287","http://ilearning.cn/sites/default/files/ceshitupian/3BU10_puzzlepieces_0.jpg"," 3BU10_puzzlepieces.mp3","puzzle pieces, glasses, magic cube, passport","3B_U10","",""
"3BU11_house","288","http://ilearning.cn/sites/default/files/ceshitupian/3BU11_house_0.jpg"," 3BU11_house.mp3","house, home, horse, hope","3B_U11","",""
"3BU11_train","289","http://ilearning.cn/sites/default/files/ceshitupian/3BU11_train_0.jpg"," 3BU11_train.mp3","train, car, plane, ship","3B_U11","",""
"3BU11_tree","290","http://ilearning.cn/sites/default/files/ceshitupian/3BU11_tree_0.jpg"," 3BU11_tree.mp3","tree, grass, three, plant","3B_U11","",""
"3BU12_climb","291","http://ilearning.cn/sites/default/files/ceshitupian/3BU12_climb_0.jpg"," 3BU12_climb.mp3","climb, jump, hide, hike","3B_U12","",""
"3BU12_paint","292","http://ilearning.cn/sites/default/files/ceshitupian/3BU12_paint_0.jpg"," 3BU12_paint.mp3","paint, draw, write, picture","3B_U12","",""
"3BU12_wave","293","http://ilearning.cn/sites/default/files/ceshitupian/3BU12_wave_0.jpg"," 3BU12_wave.mp3","wave, shave, wake, wait","3B_U12","",""
"2AU6_toes","294","http://ilearning.cn/sites/default/files/ceshitupian/2AU6_toes.jpg"," toes.mp3","toes, fingers, foot, hand","2A_U6","",""
"2AU8_shirt","295","http://ilearning.cn/sites/default/files/ceshitupian/2AU8_shirt.jpg"," shirt.mp3","shirt, skirt, coat, jacket","2A_U8","",""
"2AU8_trousers","296","http://ilearning.cn/sites/default/files/ceshitupian/2AU8_trousers.jpg"," trousers.mp3","trousers, shirt, skirt, coat","","",""
"2AU8_socks","297","http://ilearning.cn/sites/default/files/ceshitupian/2AU8_socks.jpg"," socks.mp3","socks, trousers, shirt, skirt","","",""
"2AU8_shoes","298","http://ilearning.cn/sites/default/files/ceshitupian/2AU8_shoes.jpg"," shoes.mp3","shoes, socks, shirt, coat","2A_U8","",""
"2AU9_look","299","http://ilearning.cn/sites/default/files/ceshitupian/2AU9_look.jpg"," look.mp3","look, eyes, see, work","2A_U9","",""
"2AU9_presents","300","http://ilearning.cn/sites/default/files/ceshitupian/2AU9_presents.jpg"," presents.mp3","presents, boxes, gifts, shoes","2A_U9","",""
"2AU9_green","302","http://ilearning.cn/sites/default/files/ceshitupian/2AU9_green.jpg"," green.mp3","green, yellow, red, blue","2A_U9","",""
"2AU10_tiger","303","http://ilearning.cn/sites/default/files/ceshitupian/2AU10_tiger.jpg"," tiger.mp3","tiger, dog, cat, duck","2A_U10","",""
"2AU10_mouse","304","http://ilearning.cn/sites/default/files/ceshitupian/2AU10_mouse.jpg"," mouse.mp3","mouse, tiger, cat, dog","2A_U10","",""
"2AU10_fish","305","http://ilearning.cn/sites/default/files/ceshitupian/2AU10_fish.jpg"," fish.mp3","fish, cat, tiger, mouse","2A_U10","",""
"2AU10_legs","306","http://ilearning.cn/sites/default/files/ceshitupian/2AU10_legs.jpg"," legs.mp3","legs, arms, hands, fingers","2A_U10","",""
"2BU1_bag","307","http://ilearning.cn/sites/default/files/ceshitupian/2BU1_bag_0.jpg"," 2BU1_bag.mp3","bag, bed, dad, bottle","2B_U1","",""
"2BU1_paper","308","http://ilearning.cn/sites/default/files/ceshitupian/2BU1_paper_0.jpg"," 2BU1_paper.mp3","paper, pen, pencil, eraser","2B_U1","",""
"2BU1_pencil","309","http://ilearning.cn/sites/default/files/ceshitupian/2BU1_pencil_0.jpg"," 2BU1_pencil.mp3","pencil, pen, paper, book","2B_U1","",""
"2BU1_scissors","310","http://ilearning.cn/sites/default/files/ceshitupian/2BU1_scissors_0.jpg"," 2BU1_scissors.mp3","scissors, knife, sister, fork","2B_U1","",""
"2BU2_eight","311","http://ilearning.cn/sites/default/files/ceshitupian/2BU2_eight_0.jpg"," 2BU2_eight.mp3","eight, one, three, nine","2B_U2","",""
"2BU2_picture","312","http://ilearning.cn/sites/default/files/ceshitupian/2BU2_picture_0.jpg"," 2BU2_picture.mp3","picture, paint, paper, pencil","2B_U2","",""
"2AU11_orange","313","http://ilearning.cn/sites/default/files/ceshitupian/2AU11_orange.jpg"," orange.mp3","orange, red, yellow, blue","2B_U11","",""
"2BU2_seven","314","http://ilearning.cn/sites/default/files/ceshitupian/2BU2_seven_0.jpg"," 2BU2_seven.mp3","seven, six, two, ten","2B_U2","",""
"2BU2_six","315","http://ilearning.cn/sites/default/files/ceshitupian/2BU2_six_0.jpg"," 2BU2_six.mp3","six, three, seven, five","2B_U2","",""
"2BU3_123go","316","http://ilearning.cn/sites/default/files/ceshitupian/2BU3_123go_0.jpg"," 2BU3_123go.mp3","1, 2, 3,go!, Let's go!, 1, 2, 3, run!, Let's jump!","2B_U3","",""
"2BU3_it'smyturn","317","http://ilearning.cn/sites/default/files/ceshitupian/2BU3_it%27smyturn_0.jpg"," 2BU3_it'smyturn.mp3","It's my turn., It's mine., It's your turn., It's yours.","2B_U3","",""
"2BU3_it'syourturn","318","http://ilearning.cn/sites/default/files/ceshitupian/2BU3_it%27syourturn_0.jpg"," 2BU3_it'syourturn.mp3","It's your turn., Let's play!, Are you ready?, Come on!","2B_U3","",""
"2AU11_brown","319","http://ilearning.cn/sites/default/files/ceshitupian/2AU11_brown.jpg"," brown.mp3","brown, orange, yellow, black","2A_U11","",""
"2AU11_fast","320","http://ilearning.cn/sites/default/files/ceshitupian/2AU11_fast.jpg"," fast.mp3","fast, slow, rabbit, rabbit","2A_U11","",""
"2BU4_noodles","321","http://ilearning.cn/sites/default/files/ceshitupian/2BU4_noodles_0.jpg"," 2BU4_noodles.mp3","noodles, dumplings, rice, corn","2B_U4","",""
"2AU11_slow","322","http://ilearning.cn/sites/default/files/ceshitupian/2AU11_slow.jpg"," slow.mp3","slow, fast, turtle, green","2A_U11","",""
"2AU12_swim","323","http://ilearning.cn/sites/default/files/ceshitupian/2AU12_swim.jpg"," swim.mp3","swim, run, jump, fly","2A_U12","",""
"2AU12_fly","324","http://ilearning.cn/sites/default/files/ceshitupian/2AU12_fly.jpg"," fly.mp3","fly, swim, run, jump","2A_U12","",""
"2AU12_run","325","http://ilearning.cn/sites/default/files/ceshitupian/2AU12_run.jpg"," run.mp3","run, fly, swim, jump","2A_U12","",""
"2AU12_climb","326","http://ilearning.cn/sites/default/files/ceshitupian/2AU12_climb.jpg"," climb.mp3","climb, run, swim, fly","2A_U12","",""
"2BU4_rice","327","http://ilearning.cn/sites/default/files/ceshitupian/2BU4_rice_0.jpg"," 2BU4_rice.mp3","rice, bowl, meat, table","2B_U4","",""
"1BU1_teacher","328","http://ilearning.cn/sites/default/files/ceshitupian/1BU1_teacher_0.jpg"," (812081)Unit_1_teacher.mp3","teacher, mummy, daddy, sam","1B_U1","",""
"2BU4_soup","329","http://ilearning.cn/sites/default/files/ceshitupian/2BU4_soup_0.jpg"," 2BU4_soup.mp3","soup, drink, water, rice","2B_U4","",""
"1BU1_desk","330","http://ilearning.cn/sites/default/files/ceshitupian/1BU1_desk.jpg"," (812079)(新标准幼儿英语小学英语预备课程(教学卡片)(1B)(点读书)声音文件)Unit_1_desk.mp3","desk, table, bed, chair","1B_U1","",""
"2BU4_water","331","http://ilearning.cn/sites/default/files/ceshitupian/2BU4_water_0.jpg"," 2BU4_water.mp3","water, glass, drink, bottle","2B_U4","",""
"2BU5_drink","332","http://ilearning.cn/sites/default/files/ceshitupian/2BU5_drink_0.jpg"," 2BU5_drink.mp3","drink, eat, water, boy","2B_U5","",""
"2BU5_eat","333","http://ilearning.cn/sites/default/files/ceshitupian/2BU5_eat_0.jpg"," 2BU5_eat.mp3","eat, bowl, rice, chopsticks","2B_U5","",""
"2BU5_hungry","334","http://ilearning.cn/sites/default/files/ceshitupian/2BU5_hungry_0.jpg"," 2BU5_hungry.mp3","hungry, egg, rice, soup","2B_U5","",""
"2BU5_thirsty","335","http://ilearning.cn/sites/default/files/ceshitupian/2BU5_thirsty_0.jpg"," 2BU5_thirsty.mp3","thirsty, drink, water, glass","2B_U5","",""
"2BU6_idon'tlike","336","http://ilearning.cn/sites/default/files/ceshitupian/2BU6_idon%27tlike_0.jpg"," 2BU6_idon'tlike.mp3","I don't like, I hate, I like, I want","2B_U6","",""
